school,id,conference,division,level,rating,rd,volatility,wins,losses
Air Force,2005,Mountain West,,fbs,1555.35,70.8783,0.0595959,0,0
Akron,2006,Mid-American,,fbs,1346.74,66.8679,0.0599243,0,0
Alabama,333,SEC,,fbs,2697.72,78.8851,0.0604199,0,0
App State,2026,Sun Belt,East,fbs,1433.25,68.9104,0.0596829,0,0
Arizona,12,Big 12,,fbs,2313.29,70.6199,0.0598157,0,0
Arizona State,9,Big 12,,fbs,2291.21,69.6612,0.0603194,0,0
Arkansas,8,SEC,,fbs,1620.14,90.8211,0.0598844,0,0
Arkansas State,2032,Sun Belt,West,fbs,1580.79,64.9226,0.0601639,0,0
Army,349,American Athletic,,fbs,1877.63,68.4828,0.0601693,0,0
Auburn,2,SEC,,fbs,1972.05,82.5131,0.0598166,0,0
Ball State,2050,Mid-American,,fbs,1370.93,67.7739,0.0601529,0,0
Baylor,239,Big 12,,fbs,1957.9,69.1432,0.059802,0,0
Boise State,68,Mountain West,,fbs,2001.74,70.1095,0.0600474,0,0
Boston College,103,ACC,,fbs,1500.8,83.8141,0.0599031,0,0
Bowling Green,189,Mid-American,,fbs,1244.4,68.7855,0.0601749,0,0
Buffalo,2084,Mid-American,,fbs,1341.54,69.671,0.0597185,0,0
BYU,252,Big 12,,fbs,2633.73,79.1671,0.0597261,0,0
California,25,ACC,,fbs,1930.59,67.9019,0.0605289,0,0
Central Michigan,2117,Mid-American,,fbs,1529.42,70.3908,0.0598049,0,0
Charlotte,2429,American Athletic,,fbs,1214.69,90.9231,0.0598255,0,0
Cincinnati,2132,Big 12,,fbs,2114.27,70.4451,0.0598327,0,0
Clemson,228,ACC,,fbs,1995.02,67.4352,0.0599832,0,0
Coastal Carolina,324,Sun Belt,East,fbs,1618.25,72.0143,0.0596107,0,0
Colorado,38,Big 12,,fbs,1815.52,76.0788,0.0599861,0,0
Colorado State,36,Mountain West,,fbs,1378.02,77.4511,0.0600037,0,0
Delaware,48,Conference USA,,fbs,1523.72,68.9674,0.0605114,0,0
Duke,150,ACC,,fbs,2121.88,65.7176,0.0599035,0,0
East Carolina,151,American Athletic,,fbs,2008.14,72.2792,0.0598811,0,0
Eastern Michigan,2199,Mid-American,,fbs,1342.07,67.8001,0.0601721,0,0
Florida,57,SEC,,fbs,2104.62,73.0744,0.0601725,0,0
Florida Atlantic,2226,American Athletic,,fbs,1634.9,70.2144,0.0597839,0,0
Florida International,2229,Conference USA,,fbs,1670.2,66.6614,0.0599064,0,0
Florida State,52,ACC,,fbs,1875.65,68.5122,0.060291,0,0
Fresno State,278,Mountain West,,fbs,1773.53,69.3861,0.0602974,0,0
Georgia,61,SEC,,fbs,2986.52,86.8629,0.0600655,0,0
Georgia Southern,290,Sun Belt,East,fbs,1629.06,67.251,0.0598544,0,0
Georgia State,2247,Sun Belt,East,fbs,978.204,94.7607,0.0598512,0,0
Georgia Tech,59,ACC,,fbs,2174.21,72.6904,0.0599165,0,0
Hawai'i,62,Mountain West,,fbs,1817.03,69.8962,0.0601437,0,0
Houston,248,Big 12,,fbs,2241.21,74.2499,0.0602242,0,0
Illinois,356,Big Ten,,fbs,2288.07,75.6644,0.0601396,0,0
Indiana,84,Big Ten,,fbs,4364.0,229.098,0.0599864,0,0
Iowa,2294,Big Ten,,fbs,2314.35,74.5686,0.0597494,0,0
Iowa State,66,Big 12,,fbs,2226.2,69.9475,0.0603005,0,0
Jacksonville State,55,Conference USA,,fbs,1664.44,66.9292,0.0599533,0,0
James Madison,256,Sun Belt,East,fbs,2159.84,86.2717,0.0598457,0,0
Kansas,2305,Big 12,,fbs,1919.47,72.0493,0.0596931,0,0
Kansas State,2306,Big 12,,fbs,2025.7,69.8478,0.0599616,0,0
Kennesaw State,338,Conference USA,,fbs,1895.96,75.551,0.0598955,0,0
Kent State,2309,Mid-American,,fbs,1335.19,69.6308,0.0598461,0,0
