school,id,conference,division,level,rating,rd,volatility,wins,losses
Air Force,2005,Mountain West,,fbs,1327.71,67.6654,0.0599362,5,7
Akron,2006,Mid-American,,fbs,1311.7,73.8357,0.0599491,4,8
Alabama,333,SEC,,fbs,2183.04,68.5234,0.0603728,9,4
App State,2026,Sun Belt,East,fbs,1575.36,64.5592,0.059983,5,6
Arizona,12,Big 12,,fbs,1647.0,70.0366,0.0598406,4,8
Arizona State,9,Big 12,,fbs,2165.66,72.6468,0.0602507,11,3
Arkansas,8,SEC,,fbs,1919.32,73.2156,0.0601964,7,6
Arkansas State,2032,Sun Belt,West,fbs,1622.39,68.3101,0.0597082,8,5
Army,349,American Athletic,,fbs,2000.37,86.4514,0.0598686,12,2
Auburn,2,SEC,,fbs,1784.22,71.3584,0.0600756,5,7
Ball State,2050,Mid-American,,fbs,1198.59,76.5614,0.0600606,3,9
Baylor,239,Big 12,,fbs,1988.5,65.7158,0.0598492,8,5
Boise State,68,Mountain West,,fbs,2397.28,99.4617,0.0598295,12,2
Boston College,103,ACC,,fbs,1872.61,66.089,0.059928,7,6
Bowling Green,189,Mid-American,,fbs,1490.11,68.2357,0.059688,7,6
Buffalo,2084,Mid-American,,fbs,1592.7,71.3661,0.0598694,9,4
BYU,252,Big 12,,fbs,2192.43,74.1996,0.0600151,11,2
California,25,ACC,,fbs,1658.94,68.1636,0.0598621,6,7
Central Michigan,2117,Mid-American,,fbs,1185.53,71.1356,0.0600977,4,8
Charlotte,2429,American Athletic,,fbs,1523.76,69.6188,0.0597109,5,7
Cincinnati,2132,Big 12,,fbs,1764.42,65.2402,0.0599085,5,7
Clemson,228,ACC,,fbs,2128.19,72.4552,0.059763,10,4
Coastal Carolina,324,Sun Belt,East,fbs,1483.3,64.9226,0.0599009,6,7
Colorado,38,Big 12,,fbs,2000.08,66.0881,0.0596781,9,4
Colorado State,36,Mountain West,,fbs,1480.43,68.3799,0.0598193,8,5
Duke,150,ACC,,fbs,1956.83,69.2741,0.0596132,9,4
East Carolina,151,American Athletic,,fbs,1597.74,68.2557,0.0600528,8,5
Eastern Michigan,2199,Mid-American,,fbs,1225.03,72.4902,0.0599006,5,7
Florida,57,SEC,,fbs,2123.84,69.6769,0.0599257,8,5
Florida Atlantic,2226,American Athletic,,fbs,1104.99,75.9104,0.0597247,3,9
