id,season,week,season_type,start_date,neutral_site,conference_game,home_id,home_team,home_points,away_id,away_team,away_points,home_level,away_level
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,True,356,Illinois,30,158,Nebraska,22,fbs,fbs
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,False,278,Fresno State,45,41,Connecticut,0,fbs,fbs
401329133,2021,1,regular,2021-08-28T19:00:00.000Z,True,True,2119,Central State,6,2310,Kentucky State,20,ii,ii
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,False,26,UCLA,44,62,Hawai'i,10,fbs,fbs
401328337,2021,1,regular,2021-08-28T22:00:00.000Z,False,False,282,Indiana State,26,2197,Eastern Illinois,21,fcs,fcs
401327539,2021,1,regular,2021-08-28T23:00:00.000Z,True,False,2428,North Carolina Central,23,2016,Alcorn State,14,fcs,fcs
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,False,166,New Mexico State,3,2638,UTEP,30,fbs,fbs
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,False,23,San José State,45,253,Southern Utah,14,fbs,fcs
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,True,False,55,Jacksonville State,0,5,UAB,31,fcs,fbs
401328215,2021,1,regular,2021-09-02T22:00:00.000Z,False,False,351,Wingate,30,2551,Shaw,7,ii,ii
401328989,2021,1,regular,2021-09-02T22:00:00.000Z,False,False,131,Wayne State (MI),21,215,Slippery Rock,24,ii,ii
401328204,2021,1,regular,2021-09-02T22:00:00.000Z,False,True,2619,Stony Brook,21,160,New Hampshire,27,fcs,fcs
401357797,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2382,Mercer,69,3179,Point University,0,fcs,
401334787,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2986,Fairmont State,14,2858,California (PA),23,ii,ii
401328458,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2535,Samford,52,2635,Tennessee Tech,14,fcs,fcs
401328388,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2754,Youngstown State,44,2916,Incarnate Word,41,fcs,fcs
401328175,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,311,Maine,24,48,Delaware,34,fcs,fcs
401337471,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2699,West Liberty,6,2682,Walsh,27,ii,ii
401328397,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,2927,Southwestern Oklahoma,13,2271,Henderson State,31,ii,ii
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,324,Coastal Carolina,52,2643,The Citadel,14,fbs,fcs
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2116,UCF,36,68,Boise State,31,fbs,fbs
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2084,Buffalo,69,2681,Wagner,7,fbs,fcs
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2050,Ball State,31,2710,Western Illinois,21,fbs,fcs
401334786,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,2844,Wayne State (NE),34,559,University of Mary,27,ii,ii
401332315,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2181,Drake,45,455,WV Wesleyan,3,fcs,ii
401328432,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,2823,Northwestern Oklahoma State,13,2568,Southern Arkansas,32,ii,ii
401334756,2021,1,regular,2021-09-02T23:00:00.000Z,False,False,2316,Kentucky Wesleyan,13,341,Frostburg State,20,ii,ii
