school,id,conference,division,level,rating,rd,volatility,wins,losses
Indiana,84,Big Ten,East,fbs,1626.2281923581477,96.59114470879766,0.06026202044345695,0.0,1.0
Iowa,2294,Big Ten,West,fbs,2036.586458832839,85.54468123658829,0.060447224190793715,1.0,0.0
Iowa State,66,Big 12,,fbs,1704.433288630151,83.58454615812269,0.05997287050088664,1.0,0.0
Jacksonville State,55,Conference USA,,fbs,1720.4290738930808,80.7515672682003,0.05987278804169047,2.0,0.0
James Madison,256,Sun Belt,East,fbs,1694.0310899114772,97.07971619558288,0.05995097926896943,1.0,0.0
Kansas,2305,Big 12,,fbs,1772.865071431474,90.11700900933418,0.059979378191809596,1.0,0.0
Kansas State,2306,Big 12,,fbs,2123.9295543446156,96.70771624069229,0.05986840675530688,1.0,0.0
Kent State,2309,Mid-American,East,fbs,1295.0702225580528,83.61705031121333,0.06003389473943813,0.0,1.0
Kentucky,96,SEC,East,fbs,1962.3443721329,89.29276339728982,0.06012177918660557,1.0,0.0
Liberty,2335,Conference USA,,fbs,1696.7022027773123,76.16563437585775,0.06062897648779703,1.0,0.0
Louisiana,309,Sun Belt,West,fbs,1512.724428312913,94.74022660803166,0.05999403158229976,1.0,0.0
Louisiana Monroe,2433,Sun Belt,West,fbs,1641.0612590051833,71.18120167508133,0.060114769008624565,1.0,0.0
Louisiana Tech,2348,Conference USA,,fbs,1360.5427383325332,77.4366513722065,0.060043091991115335,1.0,1.0
Louisville,97,ACC,Atlantic,fbs,2076.9379675168966,75.62711355738149,0.060076077709650205,1.0,0.0
LSU,99,SEC,West,fbs,1921.797852821493,72.0632826313402,0.06011822045662784,0.0,1.0
Marshall,276,Sun Belt,East,fbs,1713.768887152389,94.13126213824737,0.06033017631047496,1.0,0.0
Maryland,120,Big Ten,East,fbs,1936.0446978055736,97.76493788030186,0.059879439005072865,1.0,0.0
Memphis,235,American Athletic,,fbs,1610.7136682102425,96.31522993910473,0.05966854510721796,1.0,0.0
Miami,2390,ACC,Coastal,fbs,1744.904701688339,79.77915140926216,0.05983133450141152,1.0,0.0
Miami (OH),193,Mid-American,East,fbs,1212.9784835911632,78.9877063162833,0.059738977684142165,0.0,1.0
Michigan,130,Big Ten,East,fbs,2593.008331932389,108.69846927640332,0.060105756420192356,1.0,0.0
Michigan State,127,Big Ten,East,fbs,1841.5094455247777,90.01524434944496,0.060001644546405934,1.0,0.0
Middle Tennessee,2393,Conference USA,,fbs,1516.8390775041116,91.2777578375253,0.06002492799883152,0.0,1.0
Minnesota,135,Big Ten,West,fbs,2008.970380920181,81.64828635525117,0.059827997513529456,1.0,0.0
Mississippi State,344,SEC,West,fbs,2118.7648414497235,94.84505435935002,0.05984363009253919,1.0,0.0
Missouri,142,SEC,East,fbs,1843.6859039272308,93.93655763499129,0.0599435532322574,1.0,0.0
Navy,2426,American Athletic,,fbs,1425.742519645347,89.79129903081255,0.06041045135969347,0.0,1.0
NC State,152,ACC,Atlantic,fbs,1969.53071846235,82.874222380703,0.06031074105986885,1.0,0.0
Nebraska,158,Big Ten,West,fbs,1452.360859651477,82.91494749329223,0.060399088830169076,0.0,1.0
Nevada,2440,Mountain West,West,fbs,1102.588031016809,100.60062596793983,0.060033595856975035,0.0,1.0
New Mexico,167,Mountain West,Mountain,fbs,997.1089656350928,100.56017029239456,0.06002053395603285,0.0,1.0
New Mexico State,166,Conference USA,,fbs,873.254012910365,86.27173920193383,0.060425445761219866,1.0,1.0
North Carolina,153,ACC,Coastal,fbs,2157.8694318618677,71.00123831078241,0.059960262517934966,1.0,0.0
Northern Illinois,2459,Mid-American,West,fbs,1447.433787299411,70.59782760524331,0.060277455831271066,1.0,0.0
North Texas,249,American Athletic,,fbs,1353.1041101140033,77.73223687073705,0.05979637290229485,0.0,1.0
Northwestern,77,Big Ten,West,fbs,1000.0752892431523,93.61449142278379,0.06017698757414512,0.0,1.0
Notre Dame,87,FBS Independents,,fbs,2118.154524396984,108.50415804679228,0.06020067018267484,2.0,0.0
Ohio,195,Mid-American,East,fbs,1352.615144345626,88.27114674924074,0.05990951083524421,1.0,1.0
Ohio State,194,Big Ten,East,fbs,2558.794503261683,110.7421203433084,0.05990615135849,1.0,0.0
Oklahoma,201,Big 12,,fbs,1771.6291286665814,86.84165742616787,0.05983239706667059,1.0,0.0
Oklahoma State,197,Big 12,,fbs,1763.5249341403962,92.24683209036105,0.06007630004554064,1.0,0.0
Old Dominion,295,Sun Belt,East,fbs,1119.715457159362,74.97131536357632,0.05995336119030695,0.0,1.0
Ole Miss,145,SEC,West,fbs,1963.8322977448067,90.90580538901956,0.059796648641192066,1.0,0.0
Oregon,2483,Pac-12,,fbs,2280.532298390309,100.55203415160241,0.05989587525423389,1.0,0.0
Oregon State,204,Pac-12,,fbs,2253.963667966772,93.53375079069266,0.059858636225478025,1.0,0.0
Penn State,213,Big Ten,East,fbs,2435.8581902000274,99.97514244006183,0.0598003924469778,1.0,0.0
Pittsburgh,221,ACC,Coastal,fbs,1972.723639620577,96.6622841626882,0.06005238255085478,1.0,0.0
Purdue,2509,Big Ten,West,fbs,1680.8769607997765,73.16274540555256,0.05995010907741009,0.0,1.0
Rice,242,American Athletic,,fbs,1312.211612975454,88.97320345106228,0.06006341483122109,0.0,1.0
Rutgers,164,Big Ten,East,fbs,1614.2280982062446,87.57614831354431,0.059849330181180646,1.0,0.0
Sam Houston State,2534,Conference USA,,fbs,894.8997217025361,93.86083534636434,0.06024059131857239,0.0,1.0
San Diego State,21,Mountain West,West,fbs,1829.7624145531738,88.60846233314291,0.05974135141665113,2.0,0.0
San José State,23,Mountain West,West,fbs,1447.0704436272526,105.9665607897281,0.05983622203435824,0.0,2.0
SMU,2567,American Athletic,,fbs,1822.7502203343502,79.00613121545489,0.059682412375336086,1.0,0.0
South Alabama,6,Sun Belt,West,fbs,1646.9603525729783,85.14699180946343,0.05970647210487827,0.0,1.0
South Carolina,2579,SEC,East,fbs,1740.2197878548257,71.21223176421475,0.06032011991359278,0.0,1.0
Southern Mississippi,2572,Sun Belt,West,fbs,1564.9867826805425,95.17952937989484,0.06007011797591079,1.0,0.0
South Florida,58,American Athletic,,fbs,725.5477974393947,127.28076362584346,0.0599260456212175,0.0,1.0
Stanford,24,Pac-12,,fbs,1726.5357886146369,90.25204050295056,0.060010796283578714,1.0,0.0
Syracuse,183,ACC,Atlantic,fbs,1837.6337246209973,94.75830394767355,0.05982766355801341,1.0,0.0
TCU,2628,Big 12,,fbs,1738.6054459711313,71.85886609932017,0.06043835337201717,0.0,1.0
Temple,218,American Athletic,,fbs,1377.840105580146,75.99922204618618,0.05972645324245016,1.0,0.0
Tennessee,2633,SEC,East,fbs,2419.242460652977,106.07429419179256,0.06009612921490021,1.0,0.0
Texas,251,Big 12,,fbs,2015.4583553222988,89.76167858639711,0.05995584527390406,1.0,0.0
Texas A&M,245,SEC,West,fbs,1775.9267023322127,93.72731890003499,0.06031320915490316,1.0,0.0
Texas State,326,Sun Belt,West,fbs,1698.0056133336977,68.76257819033974,0.06019649443187808,1.0,0.0
Texas Tech,2641,Big 12,,fbs,1567.5139423509356,68.31112451051264,0.0602239807151761,0.0,1.0
Toledo,2649,Mid-American,West,fbs,1422.8352478696738,79.9584026823999,0.06008530382068379,0.0,1.0
Troy,2653,Sun Belt,West,fbs,1964.8609634318018,100.34543844832321,0.05992736023516019,1.0,0.0
Tulane,2655,American Athletic,,fbs,2237.1428873262885,87.1939438757031,0.06033173658421285,1.0,0.0
Tulsa,202,American Athletic,,fbs,1478.9591787540378,97.99965960098726,0.059931133467783324,1.0,0.0
UAB,5,American Athletic,,fbs,1532.6892178253804,87.49866492560527,0.05992731027151614,1.0,0.0
UCF,2116,Big 12,,fbs,1886.4647852253265,84.57701514543277,0.060241611750167755,1.0,0.0
UCLA,26,Pac-12,,fbs,2150.874389797536,83.14903399730308,0.06014189667506703,1.0,0.0
UMass,113,FBS Independents,,fbs,1299.3290312404406,82.21847568753302,0.05996647363135329,1.0,1.0
UNLV,2439,Mountain West,West,fbs,1373.8747844911127,95.7530592094584,0.06004775273506136,1.0,0.0
USC,30,Pac-12,,fbs,2251.935878323474,111.38914272354644,0.05985887392787254,2.0,0.0
Utah,254,Pac-12,,fbs,2329.420021295956,80.0600821396951,0.06008627122725722,1.0,0.0
Utah State,328,Mountain West,Mountain,fbs,1440.2436584121785,83.78658298300641,0.05995158403110448,0.0,1.0
UTEP,2638,Conference USA,,fbs,1397.7649870891833,68.33794807729187,0.06037078146724497,1.0,1.0
UT San Antonio,2636,American Athletic,,fbs,1536.6618865171404,71.54199436519812,0.059629833908210125,0.0,1.0
Vanderbilt,238,SEC,East,fbs,1844.2111810831243,112.57606649669538,0.05999120972996551,2.0,0.0
Virginia,258,ACC,Coastal,fbs,1517.9430965613199,96.693298102696,0.059872776331269716,0.0,1.0
Virginia Tech,259,ACC,Coastal,fbs,1588.8089257748757,75.62047042831787,0.059957118443633516,1.0,0.0
Wake Forest,154,ACC,Atlantic,fbs,1939.404054978068,87.32171370233965,0.05996187630757379,1.0,0.0
Washington,264,Pac-12,,fbs,2342.1360331875494,88.09864252151853,0.06025772295254572,1.0,0.0
Washington State,265,Pac-12,,fbs,1969.4033627577662,90.75063851387998,0.05965148568573047,1.0,0.0
Western Kentucky,98,Conference USA,,fbs,1655.543774014132,93.49467050103961,0.05982159360862101,1.0,0.0
Western Michigan,2711,Mid-American,West,fbs,1408.2423227865224,84.8886661325363,0.059957376075420225,1.0,0.0
West Virginia,277,Big 12,,fbs,1678.8793044709764,90.27445357637997,0.059847869974431235,0.0,1.0
Wisconsin,275,Big Ten,West,fbs,1893.3069324024125,82.30182651416052,0.05989550766734582,1.0,0.0
Wyoming,2751,Mountain West,Mountain,fbs,1943.2893608615884,68.61657977765037,0.06008896191982987,1.0,0.0
