school,id,conference,division,level,rating,rd,volatility,wins,losses
Air Force,2005,Mountain West,Mountain,fbs,1736.779567358204,97.08487595226995,0.05993731561761725,1.0,0.0
Akron,2006,Mid-American,East,fbs,914.6728233976778,74.68224372531837,0.0599320873912918,0.0,1.0
Alabama,333,SEC,West,fbs,2328.3212083634303,97.00786594206359,0.059861354123176086,1.0,0.0
Appalachian State,2026,Sun Belt,East,fbs,1594.2063279921313,82.31207393652572,0.06029391002453863,1.0,0.0
Arizona,12,Pac-12,,fbs,1878.5571626022172,96.3553608274058,0.059943083936496784,1.0,0.0
Arizona State,9,Pac-12,,fbs,1594.525366615768,97.54278640813403,0.060183996083679844,1.0,0.0
Arkansas,8,SEC,West,fbs,1904.613419604434,92.92712365616015,0.0601786380429817,1.0,0.0
Arkansas State,2032,Sun Belt,West,fbs,1105.4508258552055,92.48251574144302,0.0599511230192123,0.0,1.0
Army,349,FBS Independents,,fbs,1222.538968182093,71.26405854536618,0.059923374753465285,0.0,1.0
Auburn,2,SEC,West,fbs,1884.2100795793913,88.1877623647183,0.059730744666749186,1.0,0.0
Ball State,2050,Mid-American,West,fbs,1269.0842415948234,87.53148314878733,0.05987973629685116,0.0,1.0
Baylor,239,Big 12,,fbs,1325.0002116056585,68.51652717382353,0.06027248338597731,0.0,1.0
Boise State,68,Mountain West,Mountain,fbs,1731.9658891176634,85.85874412848291,0.060084946079201486,0.0,1.0
Boston College,103,ACC,Atlantic,fbs,1038.4001875740976,72.260962658605,0.06054661683971142,0.0,1.0
Bowling Green,189,Mid-American,East,fbs,1219.5196220161488,75.28431644685973,0.060371305838655034,0.0,1.0
Buffalo,2084,Mid-American,East,fbs,1319.8298074499899,82.37888015948505,0.06025947204119034,0.0,1.0
BYU,252,Big 12,,fbs,1815.1826618160128,93.34654259571833,0.059919659435822885,1.0,0.0
California,25,Pac-12,,fbs,1866.5422378268988,79.23664185931563,0.059879804621739266,1.0,0.0
Central Michigan,2117,Mid-American,West,fbs,1175.9401417911224,87.96654158581295,0.05986081508072795,0.0,1.0
Charlotte,2429,American Athletic,,fbs,1241.820728557121,95.62259117297721,0.060021946627942344,1.0,0.0
Cincinnati,2132,Big 12,,fbs,1839.8002384627907,92.62116280202278,0.05971474535497335,1.0,0.0
Clemson,228,ACC,Atlantic,fbs,1793.4921227708285,69.23225896775463,0.05993466153425903,0.0,1.0
Coastal Carolina,324,Sun Belt,East,fbs,1587.8333377807535,81.21809500785655,0.05986665871000214,0.0,1.0
Colorado,38,Pac-12,,fbs,2124.2393182647197,70.93831600317036,0.060231092841977966,1.0,0.0
Colorado State,36,Mountain West,Mountain,fbs,1229.2026636052863,93.45405890259411,0.05968925462704743,0.0,1.0
Connecticut,41,FBS Independents,,fbs,1387.5195624831017,84.51485865462668,0.060285983258033846,0.0,1.0
Duke,150,ACC,Coastal,fbs,2182.309384617928,69.3946176976092,0.0601073654183112,1.0,0.0
East Carolina,151,American Athletic,,fbs,1727.7877355418525,93.38429564024263,0.06005983666865133,0.0,1.0
Eastern Michigan,2199,Mid-American,West,fbs,1506.2862337684644,93.94118665168897,0.060087458999420175,1.0,0.0
Florida,57,SEC,East,fbs,1800.029674426279,79.9826776437588,0.06002905297907989,0.0,1.0
Florida Atlantic,2226,American Athletic,,fbs,1414.8927891575652,88.6686354341911,0.05977945082470217,1.0,0.0
Florida International,2229,Conference USA,,fbs,970.4702138955121,80.87298828500356,0.059772555921366106,1.0,1.0
Florida State,52,ACC,Atlantic,fbs,2346.533461105691,71.89818826583179,0.06011726509253975,1.0,0.0
Fresno State,278,Mountain West,West,fbs,2127.2525644540056,73.90321300978552,0.06011734950288689,1.0,0.0
Georgia,61,SEC,East,fbs,3716.0423926935737,334.7915131640497,0.05999433734444764,1.0,0.0
Georgia Southern,290,Sun Belt,East,fbs,1463.638159993266,89.58768427787463,0.060068853327271604,1.0,0.0
Georgia State,2247,Sun Belt,East,fbs,1518.0896272663454,78.69468258116366,0.059977608366741736,1.0,0.0
Georgia Tech,59,ACC,Coastal,fbs,1591.2859525594445,76.96186090583691,0.06038439394325889,0.0,1.0
Hawai'i,62,Mountain West,West,fbs,1048.136126741776,102.73819792253703,0.05997460286320867,0.0,2.0
Houston,248,Big 12,,fbs,1958.798055997213,71.21236387374391,0.05997053387976695,1.0,0.0
Illinois,356,Big Ten,West,fbs,1963.9316547650355,80.87077314610978,0.060082638259545254,1.0,0.0
