school,id,conference,division,level,rating,rd,volatility,wins,losses
Air Force,2005,Mountain West,,fbs,1535.91,111.509,0.0597074,1,1
Akron,2006,Mid-American,,fbs,1485.97,83.9045,0.0599085,1,2
Alabama,333,SEC,,fbs,3014.16,102.485,0.060204,3,0
App State,2026,Sun Belt,East,fbs,2280.2,103.239,0.059998,3,0
Arizona,12,Big 12,,fbs,2287.8,94.7599,0.0597731,2,1
Arizona State,9,Big 12,,fbs,1949.03,82.2366,0.0600488,2,1
Arkansas,8,SEC,,fbs,1694.05,127.277,0.059882,1,2
Arkansas State,2032,Sun Belt,West,fbs,1237.96,93.1908,0.0600954,1,2
Army,349,American Athletic,,fbs,1831.59,88.4633,0.0600696,1,1
Auburn,2,SEC,,fbs,2205.49,86.6875,0.0596928,2,1
Ball State,2050,Mid-American,,fbs,1578.3,80.5749,0.0600392,1,2
Baylor,239,Big 12,,fbs,1830.35,82.4812,0.0598468,2,1
Boise State,68,Pac-12,,fbs,2015.61,64.7863,0.0598821,2,1
Boston College,103,ACC,,fbs,1691.78,110.993,0.0598113,2,1
Bowling Green,189,Mid-American,,fbs,1140.91,135.492,0.0600758,0,3
Buffalo,2084,Mid-American,,fbs,1414.8,77.4069,0.0597122,1,2
BYU,252,Big 12,,fbs,2867.32,119.724,0.0598001,3,0
California,25,ACC,,fbs,1916.14,94.6747,0.0603289,2,1
Central Michigan,2117,Mid-American,,fbs,1767.11,69.3963,0.0597374,2,1
Charlotte,2429,American Athletic,,fbs,261.094,94.3499,0.0601026,0,3
Cincinnati,2132,Big 12,,fbs,2361.69,116.084,0.0597989,3,0
Clemson,228,ACC,,fbs,2231.0,76.1456,0.0598665,2,1
Coastal Carolina,324,Sun Belt,East,fbs,1529.25,80.1628,0.0597558,1,3
Colorado,38,Big 12,,fbs,2050.37,88.1554,0.0599347,2,1
Colorado State,36,Pac-12,,fbs,1913.43,105.742,0.0599371,2,1
Delaware,48,Conference USA,,fbs,1965.95,99.0165,0.0601631,2,1
Duke,150,ACC,,fbs,2764.83,103.306,0.0601135,3,0
East Carolina,151,American Athletic,,fbs,1815.24,86.8732,0.0600866,1,2
Eastern Michigan,2199,Mid-American,,fbs,1302.79,91.6513,0.0600926,1,3
Florida,57,SEC,,fbs,2724.12,94.0652,0.0599872,3,0
Florida Atlantic,2226,American Athletic,,fbs,2191.92,86.7431,0.0599345,2,1
Florida International,2229,Conference USA,,fbs,1734.52,81.8897,0.0597978,1,2
Florida State,52,ACC,,fbs,1698.15,97.9275,0.0601577,1,2
Fresno State,278,Pac-12,,fbs,2118.57,90.1299,0.0601148,2,1
Georgia,61,SEC,,fbs,2744.44,165.08,0.0599791,3,0
Georgia Southern,290,Sun Belt,East,fbs,1227.99,80.1775,0.0597525,1,2
Georgia State,2247,Sun Belt,East,fbs,1611.15,85.4299,0.0600156,2,1
Georgia Tech,59,ACC,,fbs,1625.15,88.2376,0.059952,1,2
Hawai'i,62,Mountain West,,fbs,1376.0,70.6863,0.0600487,1,2
Houston,248,Big 12,,fbs,2342.46,96.0116,0.0600074,2,1
Illinois,356,Big Ten,,fbs,2109.24,105.697,0.0600556,2,1
Indiana,84,Big Ten,,fbs,3874.46,339.313,0.0599791,3,0
Iowa,2294,Big Ten,,fbs,2665.65,123.21,0.0599314,3,0
Iowa State,66,Big 12,,fbs,2025.4,111.145,0.0601921,2,1
Jacksonville State,55,Conference USA,,fbs,1529.63,73.0033,0.0598715,2,2
James Madison,256,Sun Belt,East,fbs,2542.94,113.316,0.059824,3,0
Kansas,2305,Big 12,,fbs,1485.06,102.512,0.0597532,1,2
Kansas State,2306,Big 12,,fbs,2605.83,102.362,0.0600495,3,0
Kennesaw State,338,Conference USA,,fbs,1179.61,96.3988,0.0599651,1,2
Kent State,2309,Mid-American,,fbs,1470.55,90.4249,0.059767,1,2
Kentucky,96,SEC,,fbs,2582.13,81.234,0.0600647,2,1
Liberty,2335,Conference USA,,fbs,2026.59,91.8077,0.0598496,3,1
Louisiana,309,Sun Belt,West,fbs,2066.89,93.4007,0.0599737,2,1
Louisiana Tech,2348,Sun Belt,West,fbs,1299.92,109.067,0.0596901,1,2
Louisville,97,ACC,,fbs,2557.65,88.8032,0.0604126,2,1
LSU,99,SEC,,fbs,2558.18,87.0063,0.059623,2,1
Marshall,276,Sun Belt,East,fbs,2037.31,80.9299,0.0600856,2,1
Maryland,120,Big Ten,,fbs,1985.9,82.9449,0.0599629,2,1
Massachusetts,113,Mid-American,,fbs,1694.98,116.426,0.0600828,3,0
Memphis,235,American Athletic,,fbs,1828.88,76.6275,0.0598968,3,1
Miami,2390,ACC,,fbs,2870.62,126.801,0.0603424,3,0
Miami (OH),193,Mid-American,,fbs,1514.64,126.434,0.0597636,1,2
Michigan,130,Big Ten,,fbs,2407.68,77.0704,0.0601255,2,1
Michigan State,127,Big Ten,,fbs,2235.24,90.4615,0.059698,2,1
Middle Tennessee,2393,Conference USA,,fbs,1674.25,78.7858,0.0597249,2,1
Minnesota,135,Big Ten,,fbs,1954.14,98.1473,0.0599497,2,1
Mississippi State,344,SEC,,fbs,2557.41,104.546,0.0598265,3,0
Missouri,142,SEC,,fbs,2521.76,109.635,0.0596421,3,0
Missouri State,2623,Conference USA,,fbs,1492.96,91.5715,0.0597293,1,2
Navy,2426,American Athletic,,fbs,1612.53,98.7653,0.0600353,1,1
NC State,152,ACC,,fbs,1830.3,79.7499,0.0598912,1,2
Nebraska,158,Big Ten,,fbs,2429.67,106.405,0.059749,3,0
Nevada,2440,Mountain West,,fbs,1349.47,79.6323,0.0599877,1,2
New Mexico,167,Mountain West,,fbs,1946.96,71.9159,0.0601213,2,1
New Mexico State,166,Conference USA,,fbs,1125.56,73.8688,0.0597958,1,2
